dept,min,25th,50th,75th,max,min,25th,50th,75th,max
accounting,97.0,159.0,198.0,240.0,285.0,127.0,145.0,222.5,262.5,310.0
technical,97.0,162.0,197.0,237.0,287.0,126.0,148.0,232.0,267.0,310.0
marketing,96.0,162.0,198.0,238.0,286.0,127.0,144.5,159.0,254.0,310.0
sales,96.0,162.0,200.5,238.0,287.0,126.0,147.0,221.0,260.0,310.0
IT,96.0,164.0,196.0,238.0,287.0,127.0,146.0,239.0,268.0,308.0
management,97.0,165.0,201.0,237.5,286.0,127.0,145.5,229.0,258.0,307.0
support,96.0,161.0,197.5,241.0,287.0,126.0,146.5,219.0,259.0,310.0
product_mng,98.0,157.75,196.0,239.0,286.0,129.0,150.0,222.0,259.0,310.0
hr,98.0,160.0,198.0,238.25,285.0,126.0,142.0,158.0,246.0,310.0
RandD,98.0,162.0,197.0,241.0,287.0,127.0,145.0,245.0,260.0,308.0
